       DNNAccuracy  BNNAccuracy  DNNBasicScore  BNNBasicScore  DNNMaxDifference  BNNMaxDifference  DNNMinDifference  BNNMinDifference  DNNMeanDifference  BNNMeanDifference
L1N64     0.853478     0.171177       0.864869       0.337625          0.233562          0.940555          0.880054          0.101502           0.089318           0.404776
L2N64     0.623419     0.759025       0.486671       0.911515          0.340575          0.820663          0.808348          0.619096           0.433904           0.957798
L3N64     0.201987     0.342590       0.857819       0.959088          0.203588          0.376176          0.024044          0.264559           0.378514           0.935767
L4N64     0.616358     0.147780       0.698647       0.446034          0.245972          0.356723          0.557713          0.691681           0.639781           0.622913
L5N64     0.211528     0.553881       0.552339       0.088413          0.753706          0.944130          0.915334          0.043097           0.181301           0.037305
L1N32     0.667454     0.725005       0.744605       0.364336          0.794785          0.404563          0.031891          0.448365           0.066438           0.854879
L2N32     0.822737     0.328076       0.454156       0.386554          0.614965          0.404964          0.960778          0.276997           0.813574           0.723276
L3N32     0.791218     0.353810       0.027534       0.297058          0.128681          0.517477          0.954444          0.910503           0.204980           0.760595
L4N32     0.854297     0.549385       0.903094       0.135393          0.034698          0.162309          0.063232          0.587528           0.296932           0.713492
L5N32     0.299444     0.741775       0.758496       0.776564          0.224161          0.174704          0.350410          0.834295           0.800076           0.768580
L1N16     0.227337     0.621313       0.682519       0.953635          0.232457          0.648980          0.007461          0.086086           0.499189           0.752261
L2N16     0.035628     0.216685       0.276077       0.981475          0.378916          0.490919          0.610855          0.725009           0.558096           0.707109
L3N16     0.208160     0.585530       0.854928       0.370148          0.365133          0.670420          0.228376          0.663021           0.353643           0.326580
L4N16     0.488794     0.320532       0.378110       0.971563          0.059558          0.803029          0.498493          0.428067           0.375711           0.371280
L5N16     0.584311     0.583245       0.468320       0.466124          0.784378          0.577485          0.061011          0.576709           0.997178           0.543850
L1N8      0.963275     0.812235       0.553022       0.511694          0.154999          0.805609          0.417791          0.897886           0.559236           0.532136
L2N8      0.672885     0.756757       0.931004       0.799047          0.092224          0.877538          0.308359          0.131316           0.995786           0.085321
L3N8      0.999880     0.338214       0.451011       0.138552          0.647207          0.641192          0.078034          0.922885           0.684295           0.452821
L4N8      0.011608     0.299379       0.751017       0.719628          0.098415          0.861256          0.171532          0.013528           0.992016           0.707041
L5N8      0.478897     0.936653       0.567886       0.037429          0.244136          0.011874          0.496982          0.477546           0.148631           0.340885
L1N4      0.322531     0.989453       0.707360       0.412696          0.606909          0.190102          0.413851          0.191008           0.489733           0.133166
L2N4      0.115088     0.811244       0.843925       0.772060          0.299298          0.994062          0.104247          0.463771           0.688278           0.548191
L3N4      0.936106     0.193025       0.974578       0.741613          0.438280          0.969326          0.086803          0.391011           0.885824           0.146544
L4N4      0.491335     0.063837       0.473524       0.144302          0.780437          0.030871          0.124984          0.180463           0.364274           0.319932
L5N4      0.893437     0.365845       0.540601       0.577462          0.773857          0.394061          0.649545          0.260998           0.422639           0.749124
L1N2      0.687728     0.398078       0.779587       0.557768          0.734387          0.975514          0.531360          0.353536           0.804084           0.955890
L2N2      0.619363     0.504122       0.072495       0.341663          0.007938          0.403006          0.426643          0.982741           0.557815           0.097291
L3N2      0.602522     0.669607       0.115713       0.042311          0.820553          0.962166          0.197448          0.877844           0.031439           0.649284
L4N2      0.250543     0.264083       0.084615       0.452786          0.157496          0.191612          0.953438          0.192378           0.455854           0.007482
L5N2      0.773838     0.189368       0.012969       0.096850          0.991524          0.758240          0.376585          0.759240           0.653185           0.455290
