       DNNAccuracy  BNNAccuracy  DNNBasicScore  BNNBasicScore  DNNMaxDifference  BNNMaxDifference  DNNMinDifference  BNNMinDifference  DNNMeanDifference  BNNMeanDifference
L1N64     0.845847     0.831721       0.007523       0.248580          0.997992          0.881127      2.174588e-04          0.015650           0.834183           0.527510
L2N64     0.845847     0.831875       0.006602       0.246123          0.999205          0.881576      1.861486e-05          0.016592           0.847704           0.529267
L3N64     0.845540     0.831568       0.006142       0.266390          0.999166          0.852668      1.429542e-04          0.011265           0.838459           0.511348
L4N64     0.841548     0.829111       0.007830       0.328420          0.999995          0.795955      1.773134e-06          0.007123           0.831566           0.456043
L5N64     0.842315     0.823277       0.005834       0.244895          0.999976          0.693589      4.347137e-08          0.016955           0.844008           0.442219
L1N32     0.843083     0.829879       0.006909       0.344388          0.997914          0.828539      1.833292e-03          0.018778           0.819662           0.443366
L2N32     0.845847     0.831568       0.007523       0.302779          0.997445          0.793388      5.366886e-04          0.025605           0.841331           0.462596
L3N32     0.844465     0.830953       0.007370       0.321664          0.995461          0.826648      1.158676e-03          0.011889           0.839452           0.463870
L4N32     0.841701     0.825273       0.006909       0.296637          0.998763          0.803040      3.813288e-04          0.008980           0.824005           0.454461
L5N32     0.845847     0.823430       0.008598       0.494549          0.999576          0.673068      4.647706e-06          0.012936           0.818243           0.285857
L1N16     0.845386     0.825733       0.009673       0.424228          0.990349          0.762755      2.563196e-02          0.009859           0.775081           0.391241
L2N16     0.843851     0.817596       0.009980       0.374482          0.996388          0.740527      4.535854e-03          0.000000           0.826125           0.406862
L3N16     0.843544     0.821281       0.007830       0.504529          0.993247          0.647371      1.125324e-03          0.008368           0.833362           0.287233
L4N16     0.845386     0.818670       0.006909       0.512667          0.981975          0.587541      1.885357e-02          0.000000           0.819971           0.294643
L5N16     0.841548     0.825580       0.007216       0.382773          0.996281          0.824056      4.540394e-04          0.000000           0.815984           0.420879
L1N8      0.840934     0.759251       0.035160       0.999693          0.979500          0.413613      3.619689e-02          0.000000           0.724015           0.103781
L2N8      0.846768     0.822662       0.013051       0.582374          0.972787          0.654378      9.329855e-03          0.000000           0.789304           0.250643
L3N8      0.842315     0.818977       0.020421       0.664978          0.986714          0.515360      5.316854e-03          0.000000           0.789957           0.204179
L4N8      0.843083     0.812222       0.029480       0.503608          0.993926          0.593778      1.450777e-03          0.000011           0.800559           0.255826
L5N8      0.841394     0.819285       0.080762       0.558882          0.806076          0.609419      0.000000e+00          0.000000           0.612366           0.240239
L1N4      0.840473     0.759251       0.083218       1.000000          0.981542          0.051108      3.769505e-02          0.000000           0.697428           0.014833
L2N4      0.843544     0.759251       0.022110       1.000000          0.978694          0.070493      7.700086e-03          0.000000           0.776415           0.000016
L3N4      0.844772     0.823123       0.084907       0.509903          0.792504          0.750580      0.000000e+00          0.000000           0.607527           0.304358
L4N4      0.845386     0.714110       0.019039       0.774605          0.979316          0.504584      0.000000e+00          0.000000           0.803816           0.150728
L5N4      0.843697     0.759251       0.010594       1.000000          0.988249          0.000000      1.231677e-02          0.000000           0.799778           0.000000
L1N2      0.838477     0.759251       0.170889       1.000000          0.990322          0.412546      1.899886e-02          0.000000           0.618181           0.109521
L2N2      0.837095     0.759251       0.167358       1.000000          0.764084          0.000000      0.000000e+00          0.000000           0.524265           0.000000
L3N2      0.844618     0.759251       0.391678       1.000000          0.925148          0.000000      0.000000e+00          0.000000           0.439070           0.000000
L4N2      0.835406     0.759251       0.271150       1.000000          0.750075          0.000841      0.000000e+00          0.000000           0.469723           0.000016
L5N2      0.759251     0.759251       1.000000       1.000000          0.000000          0.000000      0.000000e+00          0.000000           0.000000           0.000000
