       DNNAccuracy  BNNAccuracy  DNNBasicScore  BNNBasicScore  DNNMaxDifference  BNNMaxDifference  DNNMinDifference  BNNMinDifference  DNNMeanDifference  BNNMeanDifference
L1N64     0.848933     0.835314       0.082742       0.449071          0.997818          0.706972      7.386315e-06          0.004596           0.725321           0.346948
L2N64     0.847367     0.837248       0.039505       0.410210          0.998217          0.735776      4.421673e-06          0.003368           0.785873           0.386833
L3N64     0.845079     0.835683       0.040964       0.453831          0.998817          0.717334      4.524005e-06          0.003202           0.792266           0.348540
L4N64     0.844619     0.836082       0.072977       0.471012          0.999729          0.683559      4.012932e-08          0.003368           0.769059           0.327264
L5N64     0.845924     0.832259       0.069139       0.472163          0.999874          0.668442      1.199481e-08          0.002217           0.773600           0.325867
L1N32     0.850361     0.832719       0.095516       0.503685          0.995023          0.660699      1.143557e-04          0.003328           0.700750           0.307432
L2N32     0.849639     0.837003       0.066575       0.437310          0.994766          0.708965      1.395772e-04          0.003780           0.746051           0.357612
L3N32     0.848380     0.833272       0.046691       0.502303          0.995134          0.683176      1.393653e-04          0.003548           0.763538           0.311099
L4N32     0.848042     0.834301       0.057654       0.465592          0.996896          0.661845      4.304098e-05          0.005614           0.760033           0.323086
L5N32     0.847981     0.826393       0.049086       0.552019          0.998118          0.597628      5.988211e-06          0.004884           0.770020           0.265581
L1N16     0.850115     0.834224       0.135913       0.484047          0.990460          0.677238      1.065894e-03          0.003882           0.657039           0.319786
L2N16     0.848703     0.831322       0.059803       0.556733          0.989209          0.628115      1.150450e-03          0.003010           0.734782           0.268733
L3N16     0.847981     0.828374       0.058867       0.541563          0.989175          0.593307      5.600105e-04          0.004620           0.745593           0.254488
L4N16     0.848795     0.829986       0.074681       0.552157          0.992398          0.604575      3.312713e-04          0.002577           0.734016           0.258160
L5N16     0.848349     0.812145       0.076862       0.695071          0.991425          0.508315      5.751812e-04          0.002308           0.731031           0.195494
L1N8      0.846983     0.830708       0.216889       0.557577          0.980352          0.586952      4.901854e-03          0.003747           0.580551           0.259310
L2N8      0.848365     0.821956       0.106863       0.623522          0.981598          0.535675      2.388241e-03          0.003604           0.682058           0.218040
L3N8      0.849823     0.815861       0.085997       0.674543          0.989782          0.455942      1.239981e-03          0.002165           0.712703           0.184524
L4N8      0.849025     0.799202       0.086519       0.761093          0.985165          0.390363      1.690848e-03          0.000421           0.711241           0.137145
L5N8      0.848273     0.805712       0.097835       0.724658          0.911716          0.396062      1.201527e-03          0.000000           0.661849           0.149404
L1N4      0.843881     0.813757       0.286826       0.708537          0.965740          0.502252      5.583599e-03          0.000600           0.515364           0.179871
L2N4      0.846584     0.817273       0.198050       0.696576          0.956628          0.499699      4.307066e-03          0.000964           0.591399           0.179767
L3N4      0.838569     0.776171       0.276892       0.863811          0.773260          0.314258      8.773567e-04          0.000000           0.508813           0.082440
L4N4      0.839030     0.789191       0.256640       0.782681          0.766934          0.332643      7.588134e-04          0.000000           0.524110           0.117062
L5N4      0.828574     0.770137       0.370183       0.911116          0.637387          0.096680      0.000000e+00          0.000000           0.425912           0.039810
L1N2      0.842100     0.765638       0.332750       0.969077          0.884917          0.244127      4.096072e-03          0.000000           0.445783           0.056988
L2N2      0.835099     0.774144       0.395363       0.928021          0.796565          0.167248      1.625827e-03          0.000000           0.410605           0.047410
L3N2      0.799386     0.776877       0.709458       0.944926          0.384530          0.104479      0.000000e+00          0.000000           0.184385           0.029653
L4N2      0.801520     0.759266       0.672010       0.966912          0.432093          0.203735      0.000000e+00          0.000000           0.223795           0.041359
L5N2      0.793720     0.759251       0.737172       1.000000          0.324443          0.039434      0.000000e+00          0.000000           0.175366           0.008748
